Role,Pool,SA2,Status,Industry,ATT (index pts),Pre-MSPE,p-value,Sig,N donors
treated,All Australia exc. NSW,Surry Hills,Partial,Income: Accommodation and food services,-8.5 pp,8.79,—,,1587
treated,All Australia exc. NSW,Pyrmont - Ultimo,Partial,Total,-10.0 pp,0.58,—,,1614
treated,All Australia exc. NSW,Pyrmont - Ultimo,Partial,Population,-12.3 pp,0.04,—,,1616
treated,All Australia exc. NSW,Pyrmont - Ultimo,Partial,Retail trade,+3.6 pp,8.49,—,,1591
treated,All Australia exc. NSW,Pyrmont - Ultimo,Partial,Accommodation and food services,-16.6 pp,0.01,—,,1583
treated,All Australia exc. NSW,Pyrmont - Ultimo,Partial,Arts and recreation services,+13.1 pp,0.78,—,,1424
treated,All Australia exc. NSW,Pyrmont - Ultimo,Partial,Income: Total,-28.8 pp,18.74,—,,1571
treated,All Australia exc. NSW,Pyrmont - Ultimo,Partial,Income: Retail trade,-15.3 pp,60.09,—,,1591
treated,All Australia exc. NSW,Pyrmont - Ultimo,Partial,Income: Accommodation and food services,-11.7 pp,0.10,—,,1587
treated,All Australia exc. NSW,Pyrmont - Ultimo,Partial,Income: Arts and recreation services,-38.5 pp,0.77,—,,1425
spillover,All Australia exc. NSW,Newtown - Camperdown - Darlington,Spillover,Total,-5.8 pp,1.30,—,,1615
spillover,All Australia exc. NSW,Newtown - Camperdown - Darlington,Spillover,Accommodation and food services,+5.1 pp,1.27,—,,1587
spillover,All Australia exc. NSW,Newtown - Camperdown - Darlington,Spillover,Arts and recreation services,+12.5 pp,7.36,—,,1422
spillover,All Australia exc. NSW,Newtown - Camperdown - Darlington,Spillover,Retail trade,+0.5 pp,1.55,—,,1591
spillover,All Australia exc. NSW,Newtown - Camperdown - Darlington,Spillover,Population,-6.8 pp,0.00,—,,1616
spillover,All Australia exc. NSW,Newtown - Camperdown - Darlington,Spillover,Income: Total,-4.4 pp,35.47,—,,1615
spillover,All Australia exc. NSW,Newtown - Camperdown - Darlington,Spillover,Income: Retail trade,-9.0 pp,2.45,—,,1591
spillover,All Australia exc. NSW,Newtown - Camperdown - Darlington,Spillover,Income: Accommodation and food services,-14.4 pp,15.04,—,,1585
spillover,All Australia exc. NSW,Newtown - Camperdown - Darlington,Spillover,Income: Arts and recreation services,-6.8 pp,31.08,—,,1425
spillover,All Australia exc. NSW,Glebe - Forest Lodge,Spillover,Total,-2.1 pp,0.04,—,,1614
spillover,All Australia exc. NSW,Glebe - Forest Lodge,Spillover,Accommodation and food services,-6.7 pp,3.31,—,,1583
spillover,All Australia exc. NSW,Glebe - Forest Lodge,Spillover,Arts and recreation services,+8.9 pp,1.90,—,,1422
spillover,All Australia exc. NSW,Glebe - Forest Lodge,Spillover,Retail trade,-3.6 pp,1.04,—,,1588
spillover,All Australia exc. NSW,Glebe - Forest Lodge,Spillover,Population,-3.6 pp,0.00,—,,1616
spillover,All Australia exc. NSW,Glebe - Forest Lodge,Spillover,Income: Total,-5.0 pp,1.12,—,,1614
spillover,All Australia exc. NSW,Glebe - Forest Lodge,Spillover,Income: Retail trade,-11.7 pp,0.00,—,,1591
spillover,All Australia exc. NSW,Glebe - Forest Lodge,Spillover,Income: Accommodation and food services,-10.7 pp,0.03,—,,1584
spillover,All Australia exc. NSW,Glebe - Forest Lodge,Spillover,Income: Arts and recreation services,-4.3 pp,112.05,—,,1425
