pool_id,pool_label,treated_code,treated_name,treatment_status,unit_role,outcome_type,industry,att_index_pts,pre_mspe,n_donors,base_value,att_pct,att_raw
P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Population,Population,-11.5197242825882,0.19603857642742567,1874,20247,-0.11519724282588201,-2332.398575495633
P1,All Australia (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,treated,Rent,Rent (monthly avg),5.689019588639798,NA,NA,1835,0.05689019588639798,104.3935094515403
P1,All Australia (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,treated,Employment,Accommodation and food services,-17.243255310623997,0.03521067016384886,1839,3.617,-0.17243255310623998,-0.62368854458527
P1,All Australia (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,treated,Employment,Arts and recreation services,12.193431588972857,1.631582894908497,1631,0.544,0.12193431588972857,0.06633226784401235
P1,All Australia (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,treated,Employment,Retail trade,3.638328733762533,8.131335643223135,1849,1.546,0.03638328733762533,0.05624856222396876
P1,All Australia (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,treated,Employment,Total,-10.070712594888924,0.4618394058817872,1872,22.047,-0.10070712594888924,-2.220290005795161
P1,All Australia (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,treated,Median income,Accommodation and food services,-11.79757434274662,0.14635323956092494,1845,6579.5,-0.1179757434274662,-776.2214038810139
P1,All Australia (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,treated,Median income,Arts and recreation services,-34.12546850249836,2.33184967102327,1632,25000,-0.3412546850249836,-8531.367125624589
P1,All Australia (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,treated,Median income,Retail trade,-15.390068070548224,58.06105563949691,1849,10802,-0.15390068070548224,-1662.4351529806193
P1,All Australia (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,treated,Median income,Total,-29.122077484129957,20.735421563747487,1805,17443.5,-0.29122077484129955,-5079.909585944209
P1,All Australia (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,treated,Population,Population,-13.467140514138617,0.06563104269369208,1874,20823,-0.13467140514138617,-2804.2626692590843
P1,All Australia (exc. Greater Sydney),117031334,Pyrmont - Ultimo,Partial,treated,Rent,Rent (monthly avg),7.641034080484204,NA,NA,2072,0.07641034080484203,158.3222261476327
