year_start,treated_index,synth_index,gap,pool_id,pool_label,treated_code,treated_name,treatment_status,industry,pre_mspe
2015,97.80821917808218,102.23510929330679,-4.426890115224609,P4,Capital cities only (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,Retail trade,4.03254027605206
2016,99.58904109589042,106.91481314942895,-7.325772053538529,P4,Capital cities only (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,Retail trade,4.03254027605206
2017,93.013698630137,108.2020256561762,-15.188327026039204,P4,Capital cities only (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,Retail trade,4.03254027605206
2018,89.38356164383562,110.19516997735809,-20.81160833352247,P4,Capital cities only (exc. Greater Sydney),117031333,Potts Point - Woolloomooloo,Full,Retail trade,4.03254027605206
2011,98.16743932369783,98.74656711896202,-0.5791277952641849,P4,Capital cities only (exc. Greater Sydney),117031336,Surry Hills,Partial,Total,0.3353900575880384
2012,100.54540496318515,99.96627534735764,0.5791296158275117,P4,Capital cities only (exc. Greater Sydney),117031336,Surry Hills,Partial,Total,0.3353900575880384
2013,100,99.99999999996778,3.221600763936294e-11,P4,Capital cities only (exc. Greater Sydney),117031336,Surry Hills,Partial,Total,0.3353900575880384
2014,105.44859558221978,101.35562782602321,4.092967756196572,P4,Capital cities only (exc. Greater Sydney),117031336,Surry Hills,Partial,Total,0.3353900575880384
2015,106.11944368693754,100.52525288259669,5.594190804340855,P4,Capital cities only (exc. Greater Sydney),117031336,Surry Hills,Partial,Total,0.3353900575880384
2016,109.87728388328334,107.54855597358863,2.328727909694706,P4,Capital cities only (exc. Greater Sydney),117031336,Surry Hills,Partial,Total,0.3353900575880384
2017,109.75184074175075,110.68056763317297,-0.9287268914222153,P4,Capital cities only (exc. Greater Sydney),117031336,Surry Hills,Partial,Total,0.3353900575880384
2018,110.94082356149441,115.33262911202264,-4.3918055505282325,P4,Capital cities only (exc. Greater Sydney),117031336,Surry Hills,Partial,Total,0.3353900575880384
2011,93.14593762033115,93.87115856419544,-0.7252209438642865,P4,Capital cities only (exc. Greater Sydney),117031336,Surry Hills,Partial,Accommodation and food services,0.5259440246435303
2012,95.53330766268772,94.80808863931088,0.7252190233768374,P4,Capital cities only (exc. Greater Sydney),117031336,Surry Hills,Partial,Accommodation and food services,0.5259440246435303
2013,100,99.99999999973204,2.67959876509849e-10,P4,Capital cities only (exc. Greater Sydney),117031336,Surry Hills,Partial,Accommodation and food services,0.5259440246435303
2014,105.69888332691568,105.6531194685029,0.04576385841278352,P4,Capital cities only (exc. Greater Sydney),117031336,Surry Hills,Partial,Accommodation and food services,0.5259440246435303
2015,105.96842510589141,108.59104224694563,-2.6226171410542207,P4,Capital cities only (exc. Greater Sydney),117031336,Surry Hills,Partial,Accommodation and food services,0.5259440246435303
2016,118.05929919137465,114.25257868342568,3.8067205079489668,P4,Capital cities only (exc. Greater Sydney),117031336,Surry Hills,Partial,Accommodation and food services,0.5259440246435303
