location,sigma,amenity_pre,amenity_post,delta_amenity,V_pre,V_post,delta_V,worker_welfare_pre,worker_welfare_post,delta_worker_welfare,EU_pre,EU_post,delta_EU,resident_welfare_pre_total,resident_welfare_post_total,delta_resident_welfare_total,worker_welfare_pre_total,worker_welfare_post_total,delta_worker_welfare_total,total_welfare_pre,total_welfare_post,delta_total_welfare,pool_id,displacement_pct,,,,,,,,,
Rest_of_Sydney,5000,0,0,0,14005.32813,13892.61207,-112.7160575,87668878953,87834780756,165901803.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50,,,#DIV/0!,,,,,,
Sydney_Total,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,14318.48935,14167.99835,-150.4909954,66970381111,66266505229,-703875881.9,94411443229,93975328958,-436114270.7,1.61382E+11,1.60242E+11,-1139990153,P1,50,,,#VALUE!,,,,,,
Darlinghurst,15000,-89391.60534,-97760.6939,-8369.088554,-75505.14396,-79260.08331,-3754.93935,267883497,261146227.6,-6737269.427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50,,,0.093622757,,,,,,
Erskineville - Alexandria,15000,-100540.8458,-104581.5766,-4040.730717,-70988.6209,-73605.19211,-2616.571215,608149140,550602831.8,-57546308.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50,,,0.040189942,,,,,,
Glebe - Forest Lodge,15000,-81116.10229,-80384.09098,732.0113103,-68358.41038,-69333.51573,-975.1053535,377831082,349369395,-28461686.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50,,,-0.009024242,,,,,,
Newtown - Camperdown - Darlington,15000,-78343.32369,-78968.85382,-625.5301287,-64509.42481,-65987.93027,-1478.505468,518917124,464812518.8,-54104605.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50,,,0.007984473,,,,,,
Potts Point - Woolloomooloo,15000,-75099.66317,-79852.84332,-4753.180154,-66691.89965,-68753.7985,-2061.898852,370878228,386467160.5,15588932.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50,,,0.063291631,,,,,,
Pyrmont - Ultimo,15000,-75665.08773,-72502.68794,3162.399791,-66271.12699,-68666.85735,-2395.730357,384576844.5,245129321.6,-139447522.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50,,,-0.041794702,,,,,,
Redfern - Chippendale,15000,-78049.88484,-84792.87497,-6742.990134,-67746.80904,-72633.79923,-4886.99019,335991166.5,291950456.7,-44040709.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50,,,0.086393339,,,,,,
Surry Hills,15000,-85954.70729,-83157.91591,2796.791387,-69348.2503,-69638.56708,-290.3167756,434639725,396545272,-38094452.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50,,,-0.032537967,,,,,,
Sydney - Haymarket - The Rocks,15000,-66626.88615,-72112.94193,-5486.055778,-63077.90886,-66099.40112,-3021.492269,316781790,343897672.9,27115882.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50,,,0.08233997,,,,,,
Waterloo - Beaconsfield,15000,-79392.30642,-97118.20666,-17725.90025,-64006.17618,-72072.52753,-8066.351356,552057144,487992801.6,-64064342.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50,,,0.223269748,,,,,,
Bondi Junction - Waverly,15000,-80273.56824,-77726.97322,2546.595026,-69142.71951,-69810.49989,-667.7803822,343127744,296241651.1,-46886092.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50,,,-0.031723954,,,,,,
Paddington - Moore Park,15000,-90031.60879,-87234.90653,2796.702262,-70533.86396,-70988.14144,-454.2774831,455237649,416121630.4,-39116018.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50,,,-0.03106356,,,,,,
Balmain,15000,-96674.96461,-91769.9654,4904.999204,-70330.42589,-70692.3352,-361.9093028,564773418,491289405.7,-73484012.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50,,,-0.050737016,,,,,,
Leichhardt - Annandale,15000,-83126.04622,-81874.33825,1251.707965,-62768.46508,-63260.32094,-491.8558627,758954664,716175360.4,-42779303.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50,,,-0.015057951,,,,,,
Lilyfield - Rozelle,15000,-95637.2265,-94392.98294,1244.243557,-72192.96166,-72559.21404,-366.2523821,452765060,442806495.7,-9958564.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P1,50,,,-0.013010034,,,,,,
